ID	t	A0	notFoundBySE
169	3	0.300522	
169	7	0.232377	
169	10	0.217338	
169	14	0.148891	
170	0	0.394539	
170	1	0.373537	
170	3	0.285152	
170	5	0.272078	
170	7	0.25094	
170	10	0.246652	
170	14	0.179021	
171	0	0.241176	
171	1	0.249998	
171	3	0.221419	
171	5	0.195989	
171	7	0.140639	
171	10	0.198858	
171	14	0.125805	
172	3	0.369879	
172	7	0.311427	
172	10	0.240364	
172	14	0.149473	
173	0	0.413739	
173	1	0.395833	
173	3	0.154516	
173	5	0.170549	
173	7	0.251136	
173	10	0.221287	
173	14	0.114894	
174	0	0.455494	
174	1	0.387743	
174	3	0.365133	
174	5	0.583938	
174	7	0.277815	
174	10	0.217823	
174	14	0.234928	
175	0	0.575153	
175	1	0.227245	
175	3	0.515035	
175	7	0.542661	
175	10	0.286284	
176	0	0.304698	
176	1	0.145793	
176	3	0.182869	
176	7	0.103244	
177	0	0.595519	
177	1	0.5924	
177	3	0.551741	
177	5	0.511967	
177	7	0.492074	
177	10	0.473162	
177	14	0.404294	
178	0	0.236182	
178	1	0.221461	
178	3	0.174881	
178	5	0.219387	
178	7	0.167666	
179	0	0.512872	
179	1	0.50831	
179	3	0.457024	
179	5	0.415937	
179	7	0.391599	
179	10	0.500875	
179	14	0.308249	
180	0	0.440181	
180	1	0.493964	
180	3	0.370403	
180	5	0.317652	
180	7	0.278152	
180	10	0.188034	
180	14	0.186862	
181	0	0.51669	
181	1	0.46378	
181	3	0.437847	
181	5	0.306724	
181	7	0.329789	
181	10	0.48903	
181	14	0.257774	
182	0	0.197102	
182	1	0.171656	
182	5	0.125813	
182	7	0.10559	
183	0	0.345703	
183	1	0.351494	
183	3	0.340177	
183	7	0.318051	
184	0	0.31518	
184	1	0.190072	
184	3	0.277674	
184	7	0.23666	
184	14	0.226824	
185	0	0.515803	
185	1	0.50262	
185	3	0.461552	
185	5	0.423114	
185	7	0.385422	
185	10	0.405114	
185	14	0.310227	
186	0	0.305971	
186	5	0.243646	
186	10	0.193633	
186	14	0.125105	
187	0	0.62699	
187	1	0.618185	
187	3	0.585131	
187	5	0.543787	
187	7	0.506239	
187	10	0.463557	
187	14	0.414256	
188	0	0.367461	
188	1	0.45324	
188	3	0.389051	
188	7	0.394108	
189	1	0.331857	
189	3	0.287804	
189	5	0.286471	
189	7	0.267098	
189	10	0.201509	
189	14	0.163669	
190	1	0.428876	
190	3	0.500055	
190	7	0.35013	
190	10	0.301292	
191	0	0.432269	
191	1	0.433954	
191	3	0.4708	
191	5	0.486373	
191	7	0.339279	
191	14	0.343708	
192	0	0.616585	
192	1	0.613731	
192	3	0.415021	
192	5	0.547962	
192	7	0.528383	
192	10	0.309927	
192	14	0.260007	
193	0	0.364303	
193	1	0.339021	
193	3	0.323622	
193	5	0.301906	
193	7	0.285265	
193	10	0.0138939	
193	14	0.203485	
194	0	0.3907	
194	1	0.365392	
194	3	0.348871	
194	7	0.288001	
194	14	0.233238	
195	0	0.365311	
195	1	0.351463	
195	3	0.326793	
195	5	0.300459	
195	7	0.270684	
195	10	0.185732	
195	14	0.200376	
196	0	0.510145	
196	1	0.428813	
196	3	0.429765	
196	5	0.471982	
196	7	0.280492	
196	10	0.243279	
196	14	0.204852	
197	0	0.409966	
197	1	0.370897	
197	5	0.378031	
197	7	0.289476	
198	0	0.32464	
198	1	0.329412	
198	3	0.302042	
198	5	0.266571	
198	7	0.226356	
198	14	0.175837	
199	0	0.362051	
199	1	0.35635	
199	3	0.278947	
199	5	0.265281	
200	0	0.28509	
200	1	0.270426	
200	3	0.241267	
200	5	0.206587	
200	7	0.186963	
200	10	0.302416	
